iter	Passed	Remaining
0	0	51
1	0	44
2	1	42
3	1	42
4	2	41
5	2	40
6	2	39
7	3	38
8	3	37
9	4	36
10	4	36
11	7	51
12	7	50
13	7	48
14	8	46
15	8	45
16	9	44
17	9	42
18	9	41
19	10	40
20	10	39
21	10	38
22	11	37
23	11	36
24	11	35
25	12	35
26	12	34
27	13	33
28	13	32
29	13	31
30	14	31
31	14	30
32	14	30
33	15	29
34	15	29
35	16	28
36	16	27
37	16	27
38	17	26
39	17	26
40	17	25
41	18	25
42	18	24
43	19	24
44	19	23
45	19	23
46	20	22
47	20	22
48	20	21
49	21	21
50	21	20
51	22	20
52	22	19
53	22	19
54	23	19
55	23	18
56	24	18
57	24	17
58	24	17
59	25	16
60	25	16
61	25	15
62	26	15
63	26	14
64	26	14
65	27	14
66	27	13
67	28	13
68	28	12
69	28	12
70	29	11
71	29	11
72	30	11
73	30	10
74	30	10
75	31	9
76	31	9
77	31	9
78	32	8
79	32	8
80	33	7
81	33	7
82	33	6
83	34	6
84	34	6
85	34	5
86	35	5
87	35	4
88	36	4
89	36	4
90	36	3
91	37	3
92	37	2
93	37	2
94	38	2
95	38	1
96	38	1
97	39	0
98	39	0
99	40	0
